,Name,Price,Description,Measurement,Category
0,LEIRVIK,SR 690,Bed frame,140x200 cm,Beds
1,SAGSTUA,SR 695,Bed frame,140x200 cm,Beds
2,NEIDEN,SR 218,Bed frame,140x200 cm,Beds
3,MALM,SR 685,"Bed frame, high, w 2 storage boxes",140x200 cm,Beds
4,SLATTUM,SR 545,Upholstered bed frame,140x200 cm,Beds
5,HEMNES,"SR 1,500",Bed frame,180x200 cm,Beds
6,NEIDEN,SR 163,Bed frame,90x200 cm,Beds
7,MINNEN,SR 433,Ext bed frame with slatted bed base,80x200 cm,Beds
8,MALM,SR 744,"Bed frame, high, w 2 storage boxes",90x200 cm,Beds
9,MALM,SR 686,"Bed frame, high",140x200 cm,Beds
10,BRIMNES,"SR 1,114",Bed frame w storage and headboard,140x200 cm,Beds
11,TRYSIL,SR 585,Bed frame,160x200 cm,Beds
12,HAUGA,SR 980,Upholstered bed frame,160x200 cm,Beds
13,MALM,SR 415,"Bed frame, high",90x200 cm,Beds
14,TARVA,SR 762,Bed frame,160x200 cm,Beds
15,SAGSTUA,SR 540,Bed frame,90x200 cm,Beds
16,RAMSTA,SR 545,Day-bed frame with slatted bed base,90x200 cm,Beds
17,KRITTER,SR 400,Bed frame with slatted bed base,70x160 cm,Beds
18,BRIMNES,SR 645,Bed frame with storage,90x200 cm,Beds
19,SONGESAND,SR 488,Bed frame,160x200 cm,Beds
20,NESTTUN,SR 872,Bed frame,140x200 cm,Beds
21,BRIMNES,SR 930,Bed frame with storage,160x200 cm,Beds
22,MALM,"SR 1,124","Bed frame, high, w 4 storage boxes",140x200 cm,Beds
23,NEIDEN,SR 273,Bed frame,90x200 cm,Beds
24,LEIRVIK,SR 690,Bed frame,140x200 cm,Beds
25,SAGSTUA,SR 695,Bed frame,140x200 cm,Beds
26,NEIDEN,SR 218,Bed frame,140x200 cm,Beds
27,MALM,SR 685,"Bed frame, high, w 2 storage boxes",140x200 cm,Beds
28,SLATTUM,SR 545,Upholstered bed frame,140x200 cm,Beds
29,HEMNES,"SR 1,500",Bed frame,180x200 cm,Beds
30,NEIDEN,SR 163,Bed frame,90x200 cm,Beds
31,MINNEN,SR 433,Ext bed frame with slatted bed base,80x200 cm,Beds
32,MALM,SR 744,"Bed frame, high, w 2 storage boxes",90x200 cm,Beds
33,MALM,SR 686,"Bed frame, high",140x200 cm,Beds
34,BRIMNES,"SR 1,114",Bed frame w storage and headboard,140x200 cm,Beds
35,TRYSIL,SR 585,Bed frame,160x200 cm,Beds
36,HAUGA,SR 980,Upholstered bed frame,160x200 cm,Beds
37,MALM,SR 415,"Bed frame, high",90x200 cm,Beds
38,TARVA,SR 762,Bed frame,160x200 cm,Beds
39,SAGSTUA,SR 540,Bed frame,90x200 cm,Beds
40,RAMSTA,SR 545,Day-bed frame with slatted bed base,90x200 cm,Beds
41,KRITTER,SR 400,Bed frame with slatted bed base,70x160 cm,Beds
42,BRIMNES,SR 645,Bed frame with storage,90x200 cm,Beds
43,SONGESAND,SR 488,Bed frame,160x200 cm,Beds
44,NESTTUN,SR 872,Bed frame,140x200 cm,Beds
45,BRIMNES,SR 930,Bed frame with storage,160x200 cm,Beds
46,MALM,"SR 1,124","Bed frame, high, w 4 storage boxes",140x200 cm,Beds
47,NEIDEN,SR 273,Bed frame,90x200 cm,Beds
48,LEIRVIK,SR 690,Bed frame,140x200 cm,Beds
49,SAGSTUA,SR 695,Bed frame,140x200 cm,Beds
50,NEIDEN,SR 218,Bed frame,140x200 cm,Beds
51,MALM,SR 685,"Bed frame, high, w 2 storage boxes",140x200 cm,Beds
52,SLATTUM,SR 545,Upholstered bed frame,140x200 cm,Beds
53,HEMNES,"SR 1,500",Bed frame,180x200 cm,Beds
54,NEIDEN,SR 163,Bed frame,90x200 cm,Beds
55,MINNEN,SR 433,Ext bed frame with slatted bed base,80x200 cm,Beds
